job_id,job_title,required_skills,min_years_experience,max_years_experience,salary_min,salary_max,salary_currency,job_location,remote_allowed,job_posted_date,company_size,industry
1,Junior Full Stack Developer,C#|CICD|SASS|Next.js,1.0,,30000,35000,USD,Toronto,No,2024-07-28,1000+,LegalTech
2,Frontend Developer,Scrum|Svelte|HTML|TypeScript,2.0,6.0,56000,81000,EUR,Amsterdam,No,2024-07-03,51-200,Logistics
3,JUNIOR DEVOPS ENGINEER,FastAPI|Kubernetes|Jenkins,2.0,6.0,30000,39000,USD,Boston,Yes,2024-11-30,51-200,IoT
4,Director of Engineering,Scrum|Git|PostgreSQL,9.0,13.0,140000,167000,USD,Munich,No,2024-10-20,51-200,AI/ML
5,Senior DevOps Engineer,Ansible|GitLab-CI|Kubernetes|Nginx,5.0,10.0,102000,135000,USD,San Francisco,Hybrid,2024-09-02,11-50,Blockchain
6,Web Developer,CSS|Django|Tailwind|JavaScript|Testing,4.0,10.0,2520000000,3630000000,IRR,San Francisco,No,2023-11-02,201-1000,Transportation
7,Junior Backend Developer,MySQL|Express|FastAPI,2.0,,30000,36000,USD,Tabriz,Yes,2024-06-29,201-1000,Logistics
8,CTO,Communication|REST API|Webpack|CICD|MySQL|GraphQL|Docker|RabbitMQ,11.0,,220000,265000,USD,Toronto,Yes,2023-01-08,201-1000,Cybersecurity
9,Principal Engineer,Redux|Kafka|Vue|Svelte|Kafka|Svelte|REST API,9.0,14.0,140000,172000,USD,Toronto,No,2024-11-20,11-50,Logistics
10,CTO,Tailwind|Scrum|Linux|RabbitMQ|JSON,8.0,11.0,140000,195000,USD,Mashhad,,2023-08-07,1000+,Real Estate
11,Solutions Architect,Kafka|Agile|Scrum|Express|Flask|Git|YAML,2.0,,78000,91000,USD,San Francisco,No,2024-06-27,11-50,Healthcare
12,Lead Architect,Go|Redis|CICD|YAML|Docker|PostgreSQL|Spring,13.0,17.0,176000,220000,USD,Boston,Yes,16/03/2023,51-200,Retail
13,Junior DevOps Engineer,GitLab-CI|Ansible|Express|Prometheus,2.0,8.0,33000,45000,USD,Shiraz,Yes,2023-05-18,51-200,Automotive
14,Software Engineer,Go|Redis|Communication,4.0,8.0,60000,78000,USD,Tehran,No,2024-12-23,1-10,Retail
15,Director of Engineering,Problem-Solving|Git|Problem-Solving|Scrum|FastAPI,13.0,18.0,6040000000,8590000000,IRR,Tokyo,Yes,2023-08-31,51-200,Travel
